"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ST. VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,127,,0.9969,11.9288,11.9664,15,07/01/2019,06/30/2022
ST. VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9949,3.9895,4.0099,Too Few to Report,07/01/2019,06/30/2022
ST. VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,N/A,,1.0203,18.5304,18.1622,Too Few to Report,07/01/2019,06/30/2022
ST. VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,309,,1.0500,17.6813,16.8389,58,07/01/2019,06/30/2022
ST. VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,64,,1.1530,12.4950,10.8369,12,07/01/2019,06/30/2022
ST. VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,251,,0.9971,19.9965,20.0544,50,07/01/2019,06/30/2022
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,82,,0.9856,18.2175,18.4834,14,07/01/2019,06/30/2022
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,151,,0.9781,14.2085,14.5260,20,07/01/2019,06/30/2022
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9220,3.2836,3.5615,Too Few to Report,07/01/2019,06/30/2022
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,N/A,,1.0426,11.2386,10.7794,Too Few to Report,07/01/2019,06/30/2022
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,168,,1.0081,17.5256,17.3839,30,07/01/2019,06/30/2022
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,N/A,,1.1156,13.0454,11.6937,Too Few to Report,07/01/2019,06/30/2022
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,N/A,,0.9686,19.5372,20.1697,Too Few to Report,07/01/2019,06/30/2022
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1085,5.3694,4.8437,Too Few to Report,07/01/2019,06/30/2022
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,72,,1.0380,14.1322,13.6152,12,07/01/2019,06/30/2022
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,186,,0.9745,20.2796,20.8100,36,07/01/2019,06/30/2022
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
HELEN KELLER HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0410,3.6031,3.4611,Too Few to Report,07/01/2019,06/30/2022
HELEN KELLER HOSPITAL,010019,AL,READM-30-HF-HRRP,208,,0.9366,17.9220,19.1344,33,07/01/2019,06/30/2022
HELEN KELLER HOSPITAL,010019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
HELEN KELLER HOSPITAL,010019,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
HELEN KELLER HOSPITAL,010019,AL,READM-30-COPD-HRRP,160,,0.9307,16.5761,17.8100,22,07/01/2019,06/30/2022
HELEN KELLER HOSPITAL,010019,AL,READM-30-PN-HRRP,208,,0.9978,15.4560,15.4901,32,07/01/2019,06/30/2022
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,N/A,,0.9324,19.5288,20.9453,Too Few to Report,07/01/2019,06/30/2022
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,N/A,,1.0428,21.0740,20.2097,Too Few to Report,07/01/2019,06/30/2022
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,47,,1.0552,15.7025,14.8809,11,07/01/2019,06/30/2022
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,N/A,,0.9662,12.8892,13.3402,Too Few to Report,07/01/2019,06/30/2022
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,N/A,,1.0072,10.4407,10.3662,Too Few to Report,07/01/2019,06/30/2022
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,68,,0.9977,19.3437,19.3890,13,07/01/2019,06/30/2022
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0243,5.0180,4.8991,Too Few to Report,07/01/2019,06/30/2022
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,284,,0.9412,19.3729,20.5838,51,07/01/2019,06/30/2022
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,190,,1.0287,15.0433,14.6243,30,07/01/2019,06/30/2022
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,117,,0.9747,17.7691,18.2305,19,07/01/2019,06/30/2022
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,195,,1.0147,17.4308,17.1779,35,07/01/2019,06/30/2022
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0187,3.5172,3.4527,Too Few to Report,07/01/2019,06/30/2022
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,256,,0.9629,18.9363,19.6649,46,07/01/2019,06/30/2022
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,117,,1.0898,15.9752,14.6583,23,07/01/2019,06/30/2022
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,72,,1.0008,17.9843,17.9699,13,07/01/2019,06/30/2022
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,88,,1.0167,11.9626,11.7663,11,07/01/2019,06/30/2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-PN-HRRP,88,,0.9610,16.7335,17.4130,12,07/01/2019,06/30/2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HF-HRRP,175,,1.1095,21.2027,19.1100,44,07/01/2019,06/30/2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-COPD-HRRP,72,,1.0344,20.5070,19.8250,17,07/01/2019,06/30/2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-AMI-HRRP,N/A,,1.0062,12.4327,12.3566,Too Few to Report,07/01/2019,06/30/2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-CABG-HRRP,N/A,,0.9440,8.8183,9.3417,Too Few to Report,07/01/2019,06/30/2022
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9173,4.1208,4.4925,Too Few to Report,07/01/2019,06/30/2022
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,321,,1.0892,18.0978,16.6152,64,07/01/2019,06/30/2022
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,134,,1.0125,21.0181,20.7589,29,07/01/2019,06/30/2022
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,281,,1.0353,12.1039,11.6912,35,07/01/2019,06/30/2022
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,251,,1.0693,16.1899,15.1403,44,07/01/2019,06/30/2022
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1785,8.0933,6.8672,Too Few to Report,07/01/2019,06/30/2022
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,595,,0.8908,18.2550,20.4934,101,07/01/2019,06/30/2022
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9921,4.7113,4.7486,Too Few to Report,07/01/2019,06/30/2022
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,328,,1.0905,20.8074,19.0802,74,07/01/2019,06/30/2022
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,N/A,,0.9772,12.2048,12.4890,Too Few to Report,07/01/2019,06/30/2022
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,315,,1.0232,16.0180,15.6549,52,07/01/2019,06/30/2022
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,113,,1.0903,20.6265,18.9178,29,07/01/2019,06/30/2022
ANDALUSIA HEALTH,010036,AL,READM-30-PN-HRRP,121,,1.0269,17.5026,17.0433,23,07/01/2019,06/30/2022
ANDALUSIA HEALTH,010036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ANDALUSIA HEALTH,010036,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1266,5.3022,4.7064,Too Few to Report,07/01/2019,06/30/2022
ANDALUSIA HEALTH,010036,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
ANDALUSIA HEALTH,010036,AL,READM-30-HF-HRRP,154,,1.0418,22.2181,21.3276,37,07/01/2019,06/30/2022
ANDALUSIA HEALTH,010036,AL,READM-30-COPD-HRRP,N/A,,0.9188,19.3434,21.0533,Too Few to Report,07/01/2019,06/30/2022
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,243,,0.8286,8.2787,9.9909,15,07/01/2019,06/30/2022
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,334,,1.2916,5.6980,4.4117,23,07/01/2019,06/30/2022
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,613,,0.8867,10.7176,12.0875,60,07/01/2019,06/30/2022
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,396,,0.9641,17.0000,17.6328,65,07/01/2019,06/30/2022
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,1085,,0.9794,15.7055,16.0354,169,07/01/2019,06/30/2022
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,1086,,1.0105,20.1021,19.8942,219,07/01/2019,06/30/2022
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,225,,0.9275,16.9822,18.3100,33,07/01/2019,06/30/2022
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,151,,0.9927,14.1466,14.2505,21,07/01/2019,06/30/2022
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,242,,0.9684,21.1509,21.8409,49,07/01/2019,06/30/2022
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,N/A,,0.9522,10.4307,10.9538,Too Few to Report,07/01/2019,06/30/2022
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,95,,0.9809,19.2423,19.6177,17,07/01/2019,06/30/2022
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8794,4.5142,5.1331,Too Few to Report,07/01/2019,06/30/2022
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,N/A,,0.9701,16.3804,16.8845,Too Few to Report,07/01/2019,06/30/2022
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,N/A,,0.9780,14.6968,15.0276,Too Few to Report,07/01/2019,06/30/2022
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,N/A,,0.9651,15.5782,16.1419,Too Few to Report,07/01/2019,06/30/2022
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,N/A,,1.0211,13.7076,13.4242,Too Few to Report,07/01/2019,06/30/2022
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,N/A,,1.0644,17.4469,16.3912,Too Few to Report,07/01/2019,06/30/2022
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,226,,1.0992,24.5086,22.2965,62,07/01/2019,06/30/2022
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,N/A,,0.9672,15.1514,15.6649,Too Few to Report,07/01/2019,06/30/2022
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,95,,1.0473,19.9721,19.0700,22,07/01/2019,06/30/2022
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,189,,1.0974,19.8195,18.0597,44,07/01/2019,06/30/2022
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0370,4.0484,3.9040,Too Few to Report,07/01/2019,06/30/2022
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,129,,1.0585,15.6623,14.7960,24,07/01/2019,06/30/2022
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,68,,1.0801,17.8559,16.5314,17,07/01/2019,06/30/2022
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,89,,1.0232,18.5527,18.1327,18,07/01/2019,06/30/2022
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FLOWERS HOSPITAL,010055,AL,READM-30-PN-HRRP,268,,0.9740,15.2113,15.6174,39,07/01/2019,06/30/2022
FLOWERS HOSPITAL,010055,AL,READM-30-CABG-HRRP,N/A,,1.0557,11.6453,11.0312,Too Few to Report,07/01/2019,06/30/2022
FLOWERS HOSPITAL,010055,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1823,4.6657,3.9463,Too Few to Report,07/01/2019,06/30/2022
FLOWERS HOSPITAL,010055,AL,READM-30-HF-HRRP,300,,1.0085,19.8119,19.6442,60,07/01/2019,06/30/2022
FLOWERS HOSPITAL,010055,AL,READM-30-COPD-HRRP,130,,0.9610,18.1308,18.8676,21,07/01/2019,06/30/2022
FLOWERS HOSPITAL,010055,AL,READM-30-AMI-HRRP,233,,1.0220,12.8549,12.5783,31,07/01/2019,06/30/2022
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-AMI-HRRP,122,,1.0200,13.1482,12.8898,17,07/01/2019,06/30/2022
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-PN-HRRP,304,,0.9772,15.9745,16.3467,47,07/01/2019,06/30/2022
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-CABG-HRRP,90,,1.0344,11.1665,10.7948,11,07/01/2019,06/30/2022
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.7497,3.2202,4.2954,Too Few to Report,07/01/2019,06/30/2022
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-COPD-HRRP,80,,0.9981,17.6582,17.6925,14,07/01/2019,06/30/2022
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HF-HRRP,356,,0.9587,19.0432,19.8635,65,07/01/2019,06/30/2022
BIBB MEDICAL CENTER,010058,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BIBB MEDICAL CENTER,010058,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BIBB MEDICAL CENTER,010058,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BIBB MEDICAL CENTER,010058,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BIBB MEDICAL CENTER,010058,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BIBB MEDICAL CENTER,010058,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
